,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
116,tt1423894,7.3,23058.0,Barney's Version,2010,134.0,"Comedy,Drama",86.0,"Jan 14, 2011",30000000.0,7502560.0,8845575.0,-21154425.0,0.8481709781444394,-0.7051475,2011.0,False
117,tt1431181,7.3,26273.0,Another Year,2010,129.0,"Comedy,Drama",8.0,"Dec 29, 2010",8000000.0,3205706.0,20005613.0,12005613.0,0.16024032855179193,1.500701625,2010.0,False
119,tt1433822,4.1,18112.0,The Apparition,2012,83.0,"Horror,Thriller",4.0,"Aug 24, 2012",17000000.0,4936819.0,10637281.0,-6362719.0,0.46410534797379144,-0.3742775882352941,2012.0,False
123,tt1440292,7.3,79810.0,Submarine,2010,97.0,"Comedy,Drama,Romance",9.0,"Jun 3, 2011",1900000.0,467602.0,4581937.0,2681937.0,0.10205334556105856,1.4115457894736843,2011.0,False
126,tt1441951,6.8,17979.0,Quartet,2012,94.0,"Comedy,Drama",90.0,"Jan 11, 2013",11000000.0,18388357.0,56178935.0,45178935.0,0.3273176502900954,4.107175909090909,2013.0,True
129,tt1454029,8.1,392699.0,The Help,2011,146.0,Drama,63.0,"Aug 10, 2011",25000000.0,169705587.0,213120004.0,188120004.0,0.7962912153473871,7.52480016,2011.0,True
134,tt1477837,6.3,34759.0,Cedar Rapids,2011,87.0,Comedy,51.0,"Feb 11, 2011",10000000.0,6861102.0,7862131.0,-2137869.0,0.8726771405869478,-0.2137869,2011.0,False
135,tt1478338,6.8,249501.0,Bridesmaids,2011,125.0,"Comedy,Romance",85.0,"May 13, 2011",32500000.0,169211718.0,289632023.0,257132023.0,0.584230004152545,7.911754553846154,2011.0,True
140,tt1498569,6.8,16736.0,Restless,2011,91.0,"Drama,Romance",25.0,"Sep 16, 2011",8000000.0,163753.0,2772511.0,-5227489.0,0.05906306593553642,-0.653436125,2011.0,False
141,tt1502407,6.6,88395.0,Halloween,2018,106.0,"Horror,Thriller",36.0,"Oct 19, 2018",10000000.0,159342015.0,254900667.0,244900667.0,0.625114154762098,24.4900667,2018.0,True
